id,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10
30674,6.76,10.575,1.01,0.352,0.42,-0.044,165.208,11488.125,164.734,1
30675,6.743,10.592,1.007,0.344,0.41,-0.057,166.81,11398.814,164.667,1
30676,6.743,10.592,1.007,0.344,0.41,-0.057,166.81,11398.814,164.667,0
30677,6.743,10.592,1.007,0.344,0.41,-0.057,166.81,11398.814,164.667,0
30678,6.733,10.613,1.002,0.338,0.415,-0.068,165.567,11410.83,164.55,0
30679,6.733,10.613,1.002,0.338,0.415,-0.068,165.567,11410.83,164.55,0
30680,6.733,10.613,1.002,0.338,0.415,-0.068,165.567,11410.83,164.55,0
30681,6.714,10.631,1.008,0.339,0.41,-0.071,160.223,11386.365,164.146,0
30682,6.714,10.631,1.008,0.339,0.41,-0.071,160.223,11386.365,164.146,0
30683,6.714,10.631,1.008,0.339,0.41,-0.071,160.223,11386.365,164.146,0
30684,6.694,10.646,1.005,0.335,0.412,-0.073,165.505,11393.04,164.483,0
30685,6.694,10.646,1.005,0.335,0.412,-0.073,165.505,11393.04,164.483,0
30686,6.694,10.646,1.005,0.335,0.412,-0.073,165.505,11393.04,164.483,0
30687,6.678,10.667,1.001,0.331,0.415,-0.067,166.88,11452.408,164.91,0
30688,6.678,10.667,1.001,0.331,0.415,-0.067,166.88,11452.408,164.91,0
30689,6.678,10.667,1.001,0.331,0.415,-0.067,166.88,11452.408,164.91,0
30690,6.655,10.682,0.998,0.337,0.415,-0.08,164.165,11492.817,165.124,0
30691,6.655,10.682,0.998,0.337,0.415,-0.08,164.165,11492.817,165.124,0
30692,6.655,10.682,0.998,0.337,0.415,-0.08,164.165,11492.817,165.124,0
30693,6.635,10.692,0.993,0.341,0.42,-0.044,163.298,11574.699,165.151,1
30694,6.635,10.692,0.993,0.341,0.42,-0.044,163.298,11574.699,165.151,1
30695,6.635,10.692,0.993,0.341,0.42,-0.044,163.298,11574.699,165.151,1
30696,6.618,10.702,0.988,0.339,0.418,-0.058,167.097,11719.092,164.769,1
30697,6.618,10.702,0.988,0.339,0.418,-0.058,167.097,11719.092,164.769,1
30698,6.618,10.702,0.988,0.339,0.418,-0.058,167.097,11719.092,164.769,1
30699,6.618,10.705,0.983,0.338,0.418,-0.071,167.673,11759.046,164.968,1
30700,6.618,10.705,0.983,0.338,0.418,-0.071,167.673,11759.046,164.968,1
30701,6.618,10.705,0.983,0.338,0.418,-0.071,167.673,11759.046,164.968,1
30702,6.624,10.7,0.98,0.341,0.41,-0.078,162.115,11838.21,165.266,0
30703,6.624,10.7,0.98,0.341,0.41,-0.078,162.115,11838.21,165.266,0
30704,6.624,10.7,0.98,0.341,0.41,-0.078,162.115,11838.21,165.266,0
30705,6.628,10.693,0.98,0.337,0.42,-0.084,164.19,11963.949,165.475,0
30706,6.628,10.693,0.98,0.337,0.42,-0.084,164.19,11963.949,165.475,0
30707,6.628,10.693,0.98,0.337,0.42,-0.084,164.19,11963.949,165.475,0
30708,6.628,10.693,0.978,0.336,0.418,-0.087,164.927,12003.103,165.675,0
30709,6.628,10.693,0.978,0.336,0.418,-0.087,164.927,12003.103,165.675,0
30710,6.628,10.693,0.978,0.336,0.418,-0.087,164.927,12003.103,165.675,0
30711,6.622,10.697,0.976,0.342,0.42,-0.086,165.584,12072.255,166.131,0
30712,6.622,10.697,0.976,0.342,0.42,-0.086,165.584,12072.255,166.131,0
30713,6.622,10.697,0.976,0.342,0.42,-0.086,165.584,12072.255,166.131,0
30714,6.605,10.703,0.971,0.343,0.42,-0.061,162.73,12074.952,166.791,0
30715,6.605,10.703,0.971,0.343,0.42,-0.061,162.73,12074.952,166.791,0
30716,6.605,10.703,0.971,0.343,0.42,-0.061,162.73,12074.952,166.791,0
30717,6.601,10.715,0.97,0.342,0.42,-0.063,164.886,12044.133,167.8,0
30718,6.601,10.715,0.97,0.342,0.42,-0.063,164.886,12044.133,167.8,0
30719,6.601,10.715,0.97,0.342,0.42,-0.063,164.886,12044.133,167.8,0
30720,6.609,10.717,0.97,0.343,0.42,-0.057,166.953,12060.17,168.01,0
30721,6.609,10.717,0.97,0.343,0.42,-0.057,166.953,12060.17,168.01,0
30722,6.609,10.717,0.97,0.343,0.42,-0.057,166.953,12060.17,168.01,0
30723,6.622,10.712,0.975,0.341,0.42,-0.074,164.55,12100.49,168.182,0
30724,6.622,10.712,0.975,0.341,0.42,-0.074,164.55,12100.49,168.182,0
30725,6.622,10.712,0.975,0.341,0.42,-0.074,164.55,12100.49,168.182,0
30726,6.645,10.71,0.982,0.34,0.42,-0.087,166.729,12066.481,168.256,0
30727,6.645,10.71,0.982,0.34,0.42,-0.087,166.729,12066.481,168.256,0
30728,6.645,10.71,0.982,0.34,0.42,-0.087,166.729,12066.481,168.256,0
30729,6.663,10.708,0.986,0.339,0.42,-0.109,162.964,12155.579,168.882,0
30730,6.663,10.708,0.986,0.339,0.42,-0.109,162.964,12155.579,168.882,0
30731,6.663,10.708,0.986,0.339,0.42,-0.109,162.964,12155.579,168.882,0
30732,6.675,10.702,0.986,0.344,0.42,-0.115,166.418,12165.508,169.156,0
30733,6.675,10.702,0.986,0.344,0.42,-0.115,166.418,12165.508,169.156,0
30734,6.675,10.702,0.986,0.344,0.42,-0.115,166.418,12165.508,169.156,0
30735,6.681,10.704,0.985,0.35,0.42,-0.111,162.292,12038.341,169.309,0
30736,6.681,10.704,0.985,0.35,0.42,-0.111,162.292,12038.341,169.309,0
30737,6.681,10.704,0.985,0.35,0.42,-0.111,162.292,12038.341,169.309,0
30738,6.679,10.695,0.982,0.353,0.418,-0.104,165.622,11872.966,169.627,0
30739,6.679,10.695,0.982,0.353,0.418,-0.104,165.622,11872.966,169.627,1
30740,6.679,10.695,0.982,0.353,0.418,-0.104,165.622,11872.966,169.627,1
30741,6.682,10.692,0.98,0.364,0.42,-0.111,164.909,11654.393,169.619,1
30742,6.682,10.692,0.98,0.364,0.42,-0.111,164.909,11654.393,169.619,1
30743,6.682,10.692,0.98,0.364,0.42,-0.111,164.909,11654.393,169.619,1
30744,6.688,10.679,0.981,0.376,0.42,-0.121,163.425,11490.218,169.934,1
30745,6.688,10.679,0.981,0.376,0.42,-0.121,163.425,11490.218,169.934,1
30746,6.688,10.679,0.981,0.376,0.42,-0.121,163.425,11490.218,169.934,1
30747,6.692,10.669,0.977,0.386,0.42,-0.134,161.159,11414.824,169.792,1
30748,6.692,10.669,0.977,0.386,0.42,-0.134,161.159,11414.824,169.792,0
30749,6.692,10.669,0.977,0.386,0.42,-0.134,161.159,11414.824,169.792,0
30750,6.691,10.662,0.976,0.389,0.422,-0.139,165.842,11357.155,169.508,0
30751,6.691,10.662,0.976,0.389,0.422,-0.139,165.842,11357.155,169.508,0
30752,6.691,10.662,0.976,0.389,0.422,-0.139,165.842,11357.155,169.508,0
30753,6.684,10.661,0.978,0.402,0.425,-0.136,165.719,11260.511,169.901,0
30754,6.684,10.661,0.978,0.402,0.425,-0.136,165.719,11260.511,169.901,0
30755,6.684,10.661,0.978,0.402,0.425,-0.136,165.719,11260.511,169.901,0
30756,6.674,10.661,0.97,0.404,0.425,-0.142,162.443,11183.635,170.826,0
30757,6.674,10.661,0.97,0.404,0.425,-0.142,162.443,11183.635,170.826,0
30758,6.674,10.661,0.97,0.404,0.425,-0.142,162.443,11183.635,170.826,0
30759,6.668,10.664,0.969,0.403,0.42,-0.075,165.673,11070.006,171.059,0
30760,6.668,10.664,0.969,0.403,0.42,-0.075,165.673,11070.006,171.059,0
30761,6.668,10.664,0.969,0.403,0.42,-0.075,165.673,11070.006,171.059,0
30762,6.682,10.666,0.972,0.392,0.42,-0.082,165.993,10978.189,171.643,0
30763,6.682,10.666,0.972,0.392,0.42,-0.082,165.993,10978.189,171.643,0
30764,6.682,10.666,0.972,0.392,0.42,-0.082,165.993,10978.189,171.643,1
30765,6.738,10.656,0.986,0.383,0.42,-0.1,169.706,10882.849,172.348,1
30766,6.738,10.656,0.986,0.383,0.42,-0.1,169.706,10882.849,172.348,1
30767,6.738,10.656,0.986,0.383,0.42,-0.1,169.706,10882.849,172.348,1
30768,6.788,10.632,1.003,0.361,0.422,-0.121,163.619,10863.853,172.94,1
30769,6.788,10.632,1.003,0.361,0.422,-0.121,163.619,10863.853,172.94,1
30770,6.788,10.632,1.003,0.361,0.422,-0.121,163.619,10863.853,172.94,1
30771,6.841,10.615,1.021,0.352,0.428,-0.128,164.485,10849.706,173.411,1
30772,6.841,10.615,1.021,0.352,0.428,-0.128,164.485,10849.706,173.411,1
30773,6.841,10.615,1.021,0.352,0.428,-0.128,164.485,10849.706,173.411,0
30774,6.87,10.606,1.032,0.342,0.428,-0.112,167.313,10926.529,173.52,0
30775,6.87,10.606,1.032,0.342,0.428,-0.112,167.313,10926.529,173.52,0
30776,6.87,10.606,1.032,0.342,0.428,-0.112,167.313,10926.529,173.52,0
30777,6.876,10.599,1.037,0.335,0.43,-0.084,164.359,10965.6,173.621,0
30778,6.876,10.599,1.037,0.335,0.43,-0.084,164.359,10965.6,173.621,0
30779,6.876,10.599,1.037,0.335,0.43,-0.084,164.359,10965.6,173.621,0
30780,6.883,10.602,1.038,0.324,0.435,-0.095,165.055,10981.875,174.195,0
30781,6.883,10.602,1.038,0.324,0.435,-0.095,165.055,10981.875,174.195,0
30782,6.883,10.602,1.038,0.324,0.435,-0.095,165.055,10981.875,174.195,0
30783,6.885,10.593,1.04,0.322,0.44,-0.081,165.902,10978.443,174.916,0
30784,6.885,10.593,1.04,0.322,0.44,-0.081,165.902,10978.443,174.916,0
30785,6.885,10.593,1.04,0.322,0.44,-0.081,165.902,10978.443,174.916,0
30786,6.898,10.575,1.04,0.313,0.44,-0.072,165.616,10979.822,175.552,0
30787,6.898,10.575,1.04,0.313,0.44,-0.072,165.616,10979.822,175.552,0
30788,6.898,10.575,1.04,0.313,0.44,-0.072,165.616,10979.822,175.552,0
30789,6.938,10.561,1.048,0.312,0.44,-0.048,165.237,10925.387,176.355,0
30790,6.938,10.561,1.048,0.312,0.44,-0.048,165.237,10925.387,176.355,0
30791,6.938,10.561,1.048,0.312,0.44,-0.048,165.237,10925.387,176.355,1
30792,6.992,10.523,1.058,0.307,0.445,-0.048,164.629,10959.816,176.378,1
30793,6.992,10.523,1.058,0.307,0.445,-0.048,164.629,10959.816,176.378,1
30794,6.992,10.523,1.058,0.307,0.445,-0.048,164.629,10959.816,176.378,1
30795,7.053,10.474,1.075,0.291,0.445,-0.068,165.143,10997.856,177.12,1
30796,7.053,10.474,1.075,0.291,0.445,-0.068,165.143,10997.856,177.12,1
30797,7.053,10.474,1.075,0.291,0.445,-0.068,165.143,10997.856,177.12,1
30798,7.032,10.451,1.083,0.234,0.45,-0.08,166.246,11012.035,177.496,1
30799,7.032,10.451,1.083,0.234,0.45,-0.08,166.246,11012.035,177.496,1
30800,7.032,10.451,1.083,0.234,0.45,-0.08,166.246,11012.035,177.496,0
30801,7.128,10.33,1.102,0.267,0.445,-0.078,159.958,11076.327,177.593,0
30802,7.128,10.33,1.102,0.267,0.445,-0.078,159.958,11076.327,177.593,0
30803,7.128,10.33,1.102,0.267,0.445,-0.078,159.958,11076.327,177.593,0
30804,7.186,10.247,1.127,0.299,0.445,-0.083,165.561,11030.385,177.53,0
30805,7.186,10.247,1.127,0.299,0.445,-0.083,165.561,11030.385,177.53,0
30806,7.186,10.247,1.127,0.299,0.445,-0.083,165.561,11030.385,177.53,0
30807,6.997,10.19,1.098,0.289,0.448,-0.091,167.442,11010.791,176.802,0
30808,6.997,10.19,1.098,0.289,0.448,-0.091,167.442,11010.791,176.802,0
30809,6.997,10.19,1.098,0.289,0.448,-0.091,167.442,11010.791,176.802,0
30810,6.107,9.098,0.925,0.25,0.445,-0.076,162.987,11002.958,176.891,0
30811,6.107,9.098,0.925,0.25,0.445,-0.076,162.987,11002.958,176.891,0
30812,6.107,9.098,0.925,0.25,0.445,-0.076,162.987,11002.958,176.891,0
30813,5.121,7.749,0.771,0.206,0.445,-0.082,163.765,11004.048,177.513,0
30814,5.121,7.749,0.771,0.206,0.445,-0.082,163.765,11004.048,177.513,0
30815,5.121,7.749,0.771,0.206,0.445,-0.082,163.765,11004.048,177.513,0
30816,4.272,6.53,0.653,0.174,0.445,-0.054,167.288,10969.147,177.485,0
30817,4.272,6.53,0.653,0.174,0.445,-0.054,167.288,10969.147,177.485,0
30818,4.272,6.53,0.653,0.174,0.445,-0.054,167.288,10969.147,177.485,0
30819,3.472,5.412,0.547,0.146,0.44,-0.065,167.222,10896.953,177.165,1
30820,3.472,5.412,0.547,0.146,0.44,-0.065,167.222,10896.953,177.165,1
30821,3.472,5.412,0.547,0.146,0.44,-0.065,167.222,10896.953,177.165,1
30822,2.783,4.472,0.462,0.108,0.44,-0.08,164.388,10875.006,176.702,1
30823,2.783,4.472,0.462,0.108,0.44,-0.08,164.388,10875.006,176.702,1
30824,2.783,4.472,0.462,0.108,0.44,-0.08,164.388,10875.006,176.702,1
30825,2.361,3.854,0.424,0.096,0.44,-0.077,167.144,10913.101,176.732,1
30826,2.361,3.854,0.424,0.096,0.44,-0.077,167.144,10913.101,176.732,1
30827,2.361,3.854,0.424,0.096,0.44,-0.077,167.144,10913.101,176.732,1
30828,2.293,3.612,0.459,0.092,0.44,-0.076,167.13,10932.48,176.971,0
30829,2.293,3.612,0.459,0.092,0.44,-0.076,167.13,10932.48,176.971,0
30830,2.293,3.612,0.459,0.092,0.44,-0.076,167.13,10932.48,176.971,0
30831,2.943,4.142,0.601,0.109,0.44,-0.089,167.335,10875.071,176.364,0
30832,2.943,4.142,0.601,0.109,0.44,-0.089,167.335,10875.071,176.364,0
30833,2.943,4.142,0.601,0.109,0.44,-0.089,167.335,10875.071,176.364,0
30834,4.026,5.384,0.768,0.156,0.44,-0.099,163.893,10791.861,176.118,0
30835,4.026,5.384,0.768,0.156,0.44,-0.099,163.893,10791.861,176.118,0
30836,4.026,5.384,0.768,0.156,0.44,-0.099,163.893,10791.861,176.118,0
30837,4.949,6.66,0.897,0.192,0.44,-0.1,164.276,10794.524,176.422,0
30838,4.949,6.66,0.897,0.192,0.44,-0.1,164.276,10794.524,176.422,0
30839,4.949,6.66,0.897,0.192,0.44,-0.1,164.276,10794.524,176.422,0
30840,5.692,7.715,0.995,0.23,0.44,-0.065,165.392,10837.425,176.082,0
30841,5.692,7.715,0.995,0.23,0.44,-0.065,165.392,10837.425,176.082,0
30842,5.692,7.715,0.995,0.23,0.44,-0.065,165.392,10837.425,176.082,0
30843,6.264,8.537,1.074,0.251,0.44,-0.062,163.867,10821.821,176.396,0
30844,6.264,8.537,1.074,0.251,0.44,-0.062,163.867,10821.821,176.396,0
30845,6.264,8.537,1.074,0.251,0.44,-0.062,163.867,10821.821,176.396,1
30846,6.668,9.108,1.132,0.268,0.44,-0.052,165.901,10862.188,176.341,1
30847,6.668,9.108,1.132,0.268,0.44,-0.052,165.901,10862.188,176.341,1
30848,6.668,9.108,1.132,0.268,0.44,-0.052,165.901,10862.188,176.341,1
30849,6.931,9.455,1.174,0.279,0.44,-0.079,167.225,10990.323,176.476,1
30850,6.931,9.455,1.174,0.279,0.44,-0.079,167.225,10990.323,176.476,1
30851,6.931,9.455,1.174,0.279,0.44,-0.079,167.225,10990.323,176.476,1
30852,7.115,9.667,1.202,0.277,0.44,-0.085,167.352,11055.965,177.848,1
30853,7.115,9.667,1.202,0.277,0.44,-0.085,167.352,11055.965,177.848,1
30854,7.115,9.667,1.202,0.277,0.44,-0.085,167.352,11055.965,177.848,0
30855,7.233,9.8,1.222,0.281,0.442,-0.092,164.454,11049.091,178.403,0
30856,7.233,9.8,1.222,0.281,0.442,-0.092,164.454,11049.091,178.403,0
30857,7.233,9.8,1.222,0.281,0.442,-0.092,164.454,11049.091,178.403,0
30858,7.298,9.872,1.233,0.279,0.44,-0.097,165.453,11148.387,178.424,0
30859,7.298,9.872,1.233,0.279,0.44,-0.097,165.453,11148.387,178.424,0
30860,7.298,9.872,1.233,0.279,0.44,-0.097,165.453,11148.387,178.424,0
30861,7.315,9.926,1.238,0.284,0.445,-0.108,164.688,11253.784,178.946,0
30862,7.315,9.926,1.238,0.284,0.445,-0.108,164.688,11253.784,178.946,0
30863,7.315,9.926,1.238,0.284,0.445,-0.108,164.688,11253.784,178.946,0
30864,7.31,9.959,1.238,0.285,0.45,-0.075,165.534,11444.758,178.475,0
30865,7.31,9.959,1.238,0.285,0.45,-0.075,165.534,11444.758,178.475,0
30866,7.31,9.959,1.238,0.285,0.45,-0.075,165.534,11444.758,178.475,0
30867,7.296,9.988,1.233,0.284,0.45,-0.09,164.304,11522.45,178.967,0
30868,7.296,9.988,1.233,0.284,0.45,-0.09,164.304,11522.45,178.967,0
30869,7.296,9.988,1.233,0.284,0.45,-0.09,164.304,11522.45,178.967,0
30870,7.291,10.005,1.235,0.288,0.452,-0.052,166.087,11530.457,178.874,0
30871,7.291,10.005,1.235,0.288,0.452,-0.052,166.087,11530.457,178.874,0
30872,7.291,10.005,1.235,0.288,0.452,-0.052,166.087,11530.457,178.874,0
30873,7.295,10.007,1.241,0.291,0.45,-0.083,166.867,11589.334,177.993,0
30874,7.295,10.007,1.241,0.291,0.45,-0.083,166.867,11589.334,177.993,0
30875,7.295,10.007,1.241,0.291,0.45,-0.083,166.867,11589.334,177.993,0
30876,7.301,10.004,1.248,0.286,0.448,-0.097,166.23,11635.997,178.111,0
30877,7.301,10.004,1.248,0.286,0.448,-0.097,166.23,11635.997,178.111,0
30878,7.301,10.004,1.248,0.286,0.448,-0.097,166.23,11635.997,178.111,0
30879,7.312,10.004,1.25,0.287,0.452,-0.105,165.767,11644.616,177.401,0
30880,7.312,10.004,1.25,0.287,0.452,-0.105,165.767,11644.616,177.401,0
30881,7.312,10.004,1.25,0.287,0.452,-0.105,165.767,11644.616,177.401,0
30882,7.307,10.014,1.246,0.283,0.452,-0.104,166.078,11644.145,177.023,0
30883,7.307,10.014,1.246,0.283,0.452,-0.104,166.078,11644.145,177.023,0
30884,7.307,10.014,1.246,0.283,0.452,-0.104,166.078,11644.145,177.023,0
30885,7.285,10.032,1.242,0.292,0.448,-0.105,167.514,11690.847,177.976,0
30886,7.285,10.032,1.242,0.292,0.448,-0.105,167.514,11690.847,177.976,0
30887,7.285,10.032,1.242,0.292,0.448,-0.105,167.514,11690.847,177.976,0
30888,7.251,10.055,1.229,0.295,0.45,-0.12,162.444,11655.735,177.799,0
30889,7.251,10.055,1.229,0.295,0.45,-0.12,162.444,11655.735,177.799,0
30890,7.251,10.055,1.229,0.295,0.45,-0.12,162.444,11655.735,177.799,0
30891,7.212,10.078,1.218,0.291,0.44,-0.117,166.953,11609.176,177.504,1
30892,7.212,10.078,1.218,0.291,0.44,-0.117,166.953,11609.176,177.504,1
30893,7.212,10.078,1.218,0.291,0.44,-0.117,166.953,11609.176,177.504,1
30894,7.163,10.112,1.202,0.296,0.44,-0.111,166.568,11503.83,177.939,1
30895,7.163,10.112,1.202,0.296,0.44,-0.111,166.568,11503.83,177.939,1
30896,7.163,10.112,1.202,0.296,0.44,-0.111,166.568,11503.83,177.939,1
30897,7.122,10.149,1.192,0.302,0.442,-0.114,168.842,11410.907,177.721,1
30898,7.122,10.149,1.192,0.302,0.442,-0.114,168.842,11410.907,177.721,1
30899,7.122,10.149,1.192,0.302,0.442,-0.114,168.842,11410.907,177.721,1
30900,7.084,10.19,1.179,0.3,0.445,-0.112,164.981,11390.393,178.099,0
30901,7.084,10.19,1.179,0.3,0.445,-0.112,164.981,11390.393,178.099,0
30902,7.084,10.19,1.179,0.3,0.445,-0.112,164.981,11390.393,178.099,0
30903,7.042,10.228,1.166,0.302,0.448,-0.115,167.704,11403.848,177.907,0
30904,7.042,10.228,1.166,0.302,0.448,-0.115,167.704,11403.848,177.907,0
30905,7.042,10.228,1.166,0.302,0.448,-0.115,167.704,11403.848,177.907,0
30906,7.008,10.26,1.153,0.302,0.44,-0.11,168.363,11382.502,177.316,0
30907,7.008,10.26,1.153,0.302,0.44,-0.11,168.363,11382.502,177.316,0
30908,7.008,10.26,1.153,0.302,0.44,-0.11,168.363,11382.502,177.316,0
30909,6.978,10.295,1.138,0.307,0.44,-0.092,166.023,11413.527,177.508,0
30910,6.978,10.295,1.138,0.307,0.44,-0.092,166.023,11413.527,177.508,0
30911,6.978,10.295,1.138,0.307,0.44,-0.092,166.023,11413.527,177.508,0
30912,6.967,10.312,1.13,0.304,0.44,-0.065,167.36,11371.546,177.811,0
30913,6.967,10.312,1.13,0.304,0.44,-0.065,167.36,11371.546,177.811,0
30914,6.967,10.312,1.13,0.304,0.44,-0.065,167.36,11371.546,177.811,0
30915,6.98,10.318,1.13,0.307,0.44,-0.058,165.704,11441.365,177.586,0
30916,6.98,10.318,1.13,0.307,0.44,-0.058,165.704,11441.365,177.586,0
30917,6.98,10.318,1.13,0.307,0.44,-0.058,165.704,11441.365,177.586,0
30918,7.012,10.311,1.13,0.304,0.438,-0.078,167.969,11425.866,177.807,0
30919,7.012,10.311,1.13,0.304,0.438,-0.078,167.969,11425.866,177.807,0
30920,7.012,10.311,1.13,0.304,0.438,-0.078,167.969,11425.866,177.807,0
30921,7.067,10.293,1.139,0.299,0.44,-0.092,163.887,11474.208,177.242,0
30922,7.067,10.293,1.139,0.299,0.44,-0.092,163.887,11474.208,177.242,0
30923,7.067,10.293,1.139,0.299,0.44,-0.092,163.887,11474.208,177.242,0
30924,7.107,10.282,1.145,0.297,0.44,-0.09,166.728,11513.594,177.065,0
30925,7.107,10.282,1.145,0.297,0.44,-0.09,166.728,11513.594,177.065,0
30926,7.107,10.282,1.145,0.297,0.44,-0.09,166.728,11513.594,177.065,0
30927,7.128,10.278,1.145,0.298,0.44,-0.096,167.625,11645.845,177.497,0
30928,7.128,10.278,1.145,0.298,0.44,-0.096,167.625,11645.845,177.497,0
30929,7.128,10.278,1.145,0.298,0.44,-0.096,167.625,11645.845,177.497,0
30930,7.129,10.281,1.141,0.298,0.44,-0.098,167.731,11607.252,176.874,0
30931,7.129,10.281,1.141,0.298,0.44,-0.098,167.731,11607.252,176.874,0
30932,7.129,10.281,1.141,0.298,0.44,-0.098,167.731,11607.252,176.874,0
30933,7.119,10.289,1.134,0.297,0.438,-0.092,166.04,11561.612,177.449,0
30934,7.119,10.289,1.134,0.297,0.438,-0.092,166.04,11561.612,177.449,0
30935,7.119,10.289,1.134,0.297,0.438,-0.092,166.04,11561.612,177.449,0
30936,7.091,10.304,1.129,0.298,0.425,-0.088,170.163,11568.195,177.408,0
30937,7.091,10.304,1.129,0.298,0.425,-0.088,170.163,11568.195,177.408,0
30938,7.091,10.304,1.129,0.298,0.425,-0.088,170.163,11568.195,177.408,0
30939,7.067,10.316,1.121,0.298,0.42,-0.095,170.203,11530.458,176.968,0
30940,7.067,10.316,1.121,0.298,0.42,-0.095,170.203,11530.458,176.968,0
30941,7.067,10.316,1.121,0.298,0.42,-0.095,170.203,11530.458,176.968,0
30942,7.023,10.319,1.112,0.301,0.42,-0.098,164.878,11556.133,177.37,0
30943,7.023,10.319,1.112,0.301,0.42,-0.098,164.878,11556.133,177.37,0
30944,7.023,10.319,1.112,0.301,0.42,-0.098,164.878,11556.133,177.37,0
30945,6.989,10.332,1.106,0.303,0.42,-0.107,167.554,11532.259,178.478,0
30946,6.989,10.332,1.106,0.303,0.42,-0.107,167.554,11532.259,178.478,0
30947,6.989,10.332,1.106,0.303,0.42,-0.107,167.554,11532.259,178.478,0
30948,6.951,10.34,1.094,0.299,0.42,-0.11,167.616,11555.145,177.852,0
30949,6.951,10.34,1.094,0.299,0.42,-0.11,167.616,11555.145,177.852,0
30950,6.951,10.34,1.094,0.299,0.42,-0.11,167.616,11555.145,177.852,1
30951,6.911,10.358,1.088,0.307,0.42,-0.121,170.966,11501.249,177.454,1
30952,6.911,10.358,1.088,0.307,0.42,-0.121,170.966,11501.249,177.454,1
30953,6.911,10.358,1.088,0.307,0.42,-0.121,170.966,11501.249,177.454,1
30954,6.878,10.375,1.074,0.31,0.415,-0.122,166.209,11445.563,176.302,1
30955,6.878,10.375,1.074,0.31,0.415,-0.122,166.209,11445.563,176.302,1
30956,6.878,10.375,1.074,0.31,0.415,-0.122,166.209,11445.563,176.302,1
30957,6.844,10.393,1.065,0.311,0.415,-0.123,167.826,11314.837,176.113,1
30958,6.844,10.393,1.065,0.311,0.415,-0.123,167.826,11314.837,176.113,1
30959,6.844,10.393,1.065,0.311,0.415,-0.123,167.826,11314.837,176.113,0
30960,6.805,10.414,1.055,0.313,0.415,-0.118,166.159,11303.257,176.036,0
30961,6.805,10.414,1.055,0.313,0.415,-0.118,166.159,11303.257,176.036,0
30962,6.805,10.414,1.055,0.313,0.415,-0.118,166.159,11303.257,176.036,0
30963,6.772,10.434,1.043,0.312,0.42,-0.122,170.813,11301.574,175.38,0
30964,6.772,10.434,1.043,0.312,0.42,-0.122,170.813,11301.574,175.38,0
30965,6.772,10.434,1.043,0.312,0.42,-0.122,170.813,11301.574,175.38,0
30966,6.741,10.452,1.037,0.318,0.42,-0.13,167.369,11305.025,174.086,0
30967,6.741,10.452,1.037,0.318,0.42,-0.13,167.369,11305.025,174.086,0
30968,6.741,10.452,1.037,0.318,0.42,-0.13,167.369,11305.025,174.086,0
30969,6.716,10.476,1.028,0.326,0.42,-0.105,167.889,11340.465,173.642,0
30970,6.716,10.476,1.028,0.326,0.42,-0.105,167.889,11340.465,173.642,0
30971,6.716,10.476,1.028,0.326,0.42,-0.105,167.889,11340.465,173.642,0
30972,6.703,10.484,1.018,0.327,0.42,-0.071,168.348,11344.664,173.741,0
30973,6.703,10.484,1.018,0.327,0.42,-0.071,168.348,11344.664,173.741,0
30974,6.703,10.484,1.018,0.327,0.42,-0.071,168.348,11344.664,173.741,0
30975,6.722,10.484,1.015,0.322,0.42,-0.065,165.407,11312.966,173.486,0
30976,6.722,10.484,1.015,0.322,0.42,-0.065,165.407,11312.966,173.486,0
30977,6.722,10.484,1.015,0.322,0.42,-0.065,165.407,11312.966,173.486,0
30978,6.761,10.463,1.022,0.322,0.42,-0.068,170.821,11273.888,173.14,0
30979,6.761,10.463,1.022,0.322,0.42,-0.068,170.821,11273.888,173.14,0
30980,6.761,10.463,1.022,0.322,0.42,-0.068,170.821,11273.888,173.14,0
30981,6.821,10.428,1.033,0.315,0.42,-0.086,167.579,11325.644,172.761,0
30982,6.821,10.428,1.033,0.315,0.42,-0.086,167.579,11325.644,172.761,0
30983,6.821,10.428,1.033,0.315,0.42,-0.086,167.579,11325.644,172.761,1
30984,6.883,10.394,1.046,0.308,0.42,-0.112,168.523,11344.099,172.768,1
30985,6.883,10.394,1.046,0.308,0.42,-0.112,168.523,11344.099,172.768,1
30986,6.883,10.394,1.046,0.308,0.42,-0.112,168.523,11344.099,172.768,1
30987,6.92,10.368,1.057,0.314,0.42,-0.116,167.023,11296.607,172.004,1
30988,6.92,10.368,1.057,0.314,0.42,-0.116,167.023,11296.607,172.004,1
30989,6.92,10.368,1.057,0.314,0.42,-0.116,167.023,11296.607,172.004,1
30990,6.931,10.351,1.062,0.304,0.42,-0.125,172.247,11286.576,171.977,1
30991,6.931,10.351,1.062,0.304,0.42,-0.125,172.247,11286.576,171.977,1
30992,6.931,10.351,1.062,0.304,0.42,-0.125,172.247,11286.576,171.977,0
30993,6.926,10.352,1.069,0.303,0.42,-0.125,170.133,11279.994,171.264,0
30994,6.926,10.352,1.069,0.303,0.42,-0.125,170.133,11279.994,171.264,0
30995,6.926,10.352,1.069,0.303,0.42,-0.125,170.133,11279.994,171.264,0
30996,6.892,10.356,1.07,0.305,0.42,-0.128,172.074,11244.326,171.237,0
30997,6.892,10.356,1.07,0.305,0.42,-0.128,172.074,11244.326,171.237,0
